TF1,TF2,delta_oe_median,delta_oe_ct,delta_oe_pval,delta_oe_pval_corrected
NR2F2,NFYC,0.011951001000000003,74,0.00763669807038924,1.0
NR2F2,NR2C2,-0.006623098500000001,74,0.014768655436167188,1.0
NR2F2,NR2F1,0.022285076000000008,472,5.3897600069344955e-43,1.3797785617752308e-39
NR2F2,NR2F2,0.054099737499999995,324,1.1182744270716575e-68,2.8627825333034434e-65
NR2F2,NR2F6,0.022643322,446,2.446530820339454e-47,6.263118900069002e-44
NR2F2,NRF1,0.008729986999999995,219,2.1581333254750244e-08,5.5248213132160626e-05
NR2F2,RARA,0.022001416500000003,304,2.534503696813731e-29,6.488329463843151e-26
NR2F2,RBPJ,0.031455067,69,7.159957954991259e-11,1.8329492364777624e-07
NR2F2,RFX3,0.016250528,55,9.423330561412951e-05,0.24123726237217152
NR2F2,RXRA,0.04812951000000001,355,1.7304258375833101e-71,4.429890144213274e-68
NR2F2,RXRB,0.0367552285,314,6.619583470915377e-45,1.6946133685543365e-41
NR2F2,SKI,0.04457102100000001,122,3.7191348114950826e-24,9.520985117427411e-21
NR2F2,SMAD4,0.04394529,261,2.0781118831092336e-50,5.319966420759638e-47
NR2F2,SOX13,0.04403603,54,7.757961204064927e-11,1.9860380682406214e-07
NR2F2,TFAP4,0.0369792345,186,3.959362823060778e-25,1.0135968827035592e-21
NR2F2,TFDP1,0.022935144,196,7.024587276912655e-17,1.7982943428896398e-13
NR2F2,TFE3,0.04376521,145,4.802665002590022e-30,1.2294822406630457e-26
NR2F2,THAP11,0.026011653,50,1.5340111390492254e-07,0.0003927068515966017
NR2F2,THRB,0.039781305,59,2.485288336243561e-09,6.3623381407835156e-06
NR2F2,USF1,0.028938159999999997,166,6.260050720795355e-20,1.6025729845236109e-16
NR2F2,USF2,0.026609485000000002,62,1.3541919287604505e-08,3.4667313376267534e-05
NR2F2,YY1,0.014740281000000008,73,0.00011575407400115505,0.2963304294429569
NR2F2,ZSCAN9,0.014683178,84,1.0688125654844236e-05,0.027361601676401247
NR2F6,AHR,0.01737535000000001,55,3.1269715120181806e-06,0.008005047070766543
NR2F6,ATF2,0.021982939999999992,53,6.501148403225558e-07,0.0016642939912257428
NR2F6,ATF3,0.017655774999999985,56,0.0017009298918621283,1.0
NR2F6,BHLHE40,0.039828390000000005,153,9.239590741648001e-24,2.3653352298618884e-20
NR2F6,CEBPB,0.06054731299999999,50,1.1124282020051752e-09,2.8478161971332487e-06
NR2F6,CEBPG,0.046872837,60,7.903677631301674e-11,2.0233414736132286e-07
NR2F6,CREB1,0.034802644,60,4.090615396721133e-12,1.04719754156061e-08
NR2F6,CREM,0.02860827499999999,181,1.7454365514576013e-25,4.4683175717314595e-22
NR2F6,CTCF,0.0330665245,304,1.6684220993295413e-37,4.271160574283626e-34
NR2F6,ELF1,0.03450155,281,3.158584936046087e-35,8.085977436277982e-32
NR2F6,ELF3,0.042063596,71,3.831480080876313e-14,9.808589007043361e-11
NR2F6,ERF,0.024146795000000006,87,8.900938111552253e-13,2.278640156557377e-09
NR2F6,ETS1,0.018215769999999992,141,7.296456101816068e-13,1.8678927620649134e-09
NR2F6,ETV4,0.0275635775,274,2.3670989939780246e-28,6.059773424583742e-25
NR2F6,ETV5,0.030733906,403,1.218792377348156e-45,3.1201084860112795e-42
NR2F6,GABPA,0.01803022199999999,288,3.4304379979813025e-21,8.781921274832134e-18
NR2F6,HBP1,0.036587614000000004,81,2.1024040660865626e-13,5.3821544091816e-10
NR2F6,HLF,0.044485096999999994,53,1.809447263688301e-10,4.6321849950420504e-07
NR2F6,HNF1A,0.02892428,147,1.2649431223297542e-15,3.238254393164171e-12
NR2F6,HNF4A,0.03559146999999996,731,5.804360121818942e-99,1.4859161911856492e-95
NR2F6,HNF4G,0.0431561115,674,6.102828384530181e-107,1.5623240664397263e-103
NR2F6,KLF16,0.026389965,83,4.997513644652627e-12,1.2793634930310725e-08
NR2F6,MAX,0.041330573999999995,299,3.6467983462953906e-52,9.3358037665162e-49
NR2F6,MLX,0.03385226350000001,202,7.62195596766938e-30,1.9512207277233612e-26
NR2F6,NFE2L2,0.021398482000000003,80,6.1627117086783734e-06,0.015776541974216636
NR2F6,NFIA,0.03558742800000001,326,2.199267210458173e-42,5.630124058772923e-39
NR2F6,NFIL3,0.038737489999999986,75,1.5586159798247173e-11,3.990056908351276e-08
NR2F6,NFYC,0.023632540000000014,112,1.045349903779319e-08,2.6760957536750568e-05
NR2F6,NR2C2,0.013048070000000002,112,1.5521812453435042e-06,0.003973583988079371
NR2F6,NR2F1,0.04732024000000001,723,8.827446243469224e-124,2.2598262383281216e-120
NR2F6,NR2F2,0.022643322,446,2.446530820339279e-47,6.263118900068554e-44
NR2F6,NR2F6,0.04742782,946,3.4700300096294306e-168,8.883276824651342e-165
NR2F6,NRF1,0.026822554500000005,316,1.2158586969402722e-31,3.112598264167097e-28
NR2F6,RARA,0.041866682999999995,552,2.105031765130795e-86,5.388881318734835e-83
NR2F6,RBPJ,0.04113706,117,4.929338802019865e-19,1.2619107333170855e-15
NR2F6,RFX1,0.02763475999999998,61,6.205671123215621e-08,0.0001588651807543199
NR2F6,RFX3,0.037765425,86,4.185084023343848e-10,1.071381509976025e-06
NR2F6,RXRA,0.045642822,547,1.1410318541397557e-96,2.9210415465977746e-93
NR2F6,RXRB,0.039602550000000014,481,8.605404384275166e-68,2.2029835223744424e-64
NR2F6,SKI,0.048361441500000005,180,3.5799123729767567e-31,9.164575674820498e-28
NR2F6,SMAD4,0.0473759245,376,8.623716873801735e-64,2.2076715196932443e-60
NR2F6,SOX13,0.049333495000000005,80,7.845352806604652e-13,2.008410318490791e-09
NR2F6,SOX5,0.054285859999999964,71,8.458631548185001e-13,2.1654096763353604e-09
NR2F6,TFAP4,0.060445172,328,3.8810922538781804e-64,9.935596169928141e-61
NR2F6,TFDP1,0.030392727999999997,298,2.807389739968839e-35,7.186917734320228e-32
NR2F6,TFE3,0.04147982749999999,246,2.5431307585157567e-41,6.510414741800337e-38
NR2F6,THAP11,0.04372184900000001,66,3.199038922484927e-10,8.189539641561413e-07
NR2F6,THRB,0.040808895000000005,114,4.928110394681886e-19,1.2615962610385627e-15
NR2F6,USF1,0.041349709999999984,265,1.708681528328492e-42,4.37422471252094e-39
NR2F6,USF2,0.039303969999999994,79,1.3517411712625304e-11,3.460457398432078e-08
NR2F6,YY1,0.03220671,125,2.6896532198991645e-13,6.885512242941861e-10
NR2F6,ZBTB25,0.029222279999999996,81,2.742365964319982e-10,7.020456868659154e-07
NR2F6,ZHX2,0.0160762555,52,7.508577321264965e-05,0.19221957942438309
NR2F6,ZSCAN9,0.028615912999999993,135,1.6340006398017277e-15,4.183041637892423e-12
NRF1,AHR,0.020951744999999994,397,1.4076827671577244e-38,3.6036678839237746e-35
NRF1,ATF1,0.017031850000000015,631,2.8799481297808325e-32,7.372667212238931e-29
NRF1,ATF2,0.015726013999999996,491,2.7504126004564393e-17,7.041056257168485e-14
NRF1,ATF3,0.022101449999999967,939,2.2210120223860487e-79,5.685790777308284e-76
NRF1,ATF7,0.024801699999999982,424,2.659568469996555e-28,6.808495283191181e-25
NRF1,BHLHE40,0.03926658999999999,1143,2.2559445591468968e-151,5.7752180714160555e-148
NRF1,CEBPA,0.025292594499999994,98,4.773168791094095e-12,1.2219312105200884e-08
NRF1,CEBPB,0.029409025,144,2.128599435524204e-16,5.449214554941962e-13
NRF1,CEBPG,0.020833922500000004,144,8.43618521454035e-09,2.1596634149223294e-05
NRF1,CREB1,0.02118411499999999,1054,5.333303696204328e-67,1.365325746228308e-63
NRF1,CREM,0.01716379999999995,1179,6.3420009098624984e-74,1.6235522329247996e-70
NRF1,CTCF,0.01849650000000004,1816,5.251666568051587e-114,1.3444266414212062e-110
NRF1,ELF1,0.018798495,2862,1.4762328690608116e-174,3.7791561447956774e-171
NRF1,ELF3,0.02253276,310,2.361254459949905e-28,6.044811417471757e-25
NRF1,ERF,0.026015780000000002,481,1.5004747815676313e-52,3.841215440813136e-49
NRF1,ETS1,0.03385227999999996,69,4.189363311053172e-09,1.072477007629612e-05
NRF1,ETV4,0.017560115999999994,1517,7.589397936475978e-82,1.9428858717378504e-78
NRF1,ETV5,0.018274980000000024,2249,1.1582480833176802e-127,2.965115093293261e-124
NRF1,GABPA,0.009001435000000002,2636,1.3771208344753114e-67,3.525429336256797e-64
NRF1,GMEB2,0.019631105000000006,686,1.2650285081425123e-35,3.2384729808448316e-32
NRF1,HBP1,0.026412609999999975,626,1.7762765221798486e-60,4.5472678967804125e-57
NRF1,HLF,0.03528279299999999,62,4.4539894409777453e-08,0.00011402212968903028
NRF1,HNF1A,0.012547177999999999,57,0.003836797837426861,1.0
NRF1,HNF4A,0.018851110000000004,493,8.692596286016888e-34,2.2253046492203234e-30
NRF1,HNF4G,0.019909910000000003,485,8.115311021845949e-38,2.077519621592563e-34
NRF1,KLF16,0.032956703500000004,476,6.175778444012753e-52,1.5809992816672646e-48
NRF1,MAX,0.030496670000000003,3246,0.0,0.0
NRF1,MLX,0.03194659999999997,1104,9.058920088079399e-126,2.319083542548326e-122
NRF1,MXI1,0.020116489999999994,625,1.3636017896763135e-51,3.4908205815713626e-48
NRF1,MYRF,0.024191829999999994,174,7.204579557187481e-21,1.8443723666399953e-17
NRF1,NFE2L2,0.008018158999999997,67,2.862118322248933e-05,0.07327022904957269
NRF1,NFIA,0.02238189,391,4.075372820484343e-30,1.0432954420439919e-26
NRF1,NFIL3,0.008243520000000004,97,5.2987119783304706e-06,0.013564702664526005
NRF1,NFYC,0.009962729999999996,1279,2.0336620192495426e-27,5.2061747692788286e-24
NRF1,NR2C2,0.008204984500000005,536,6.767622064877876e-13,1.7325112486087362e-09
NRF1,NR2F1,0.03670062,293,5.712430516165445e-45,1.4623822121383538e-41
NRF1,NR2F2,0.008729986999999995,219,2.158133325475001e-08,5.524821313216002e-05
NRF1,NR2F6,0.026822554500000005,316,1.2158586969402722e-31,3.112598264167097e-28
NRF1,NRF1,0.032204839,17046,0.0,0.0
NRF1,PBX2,0.014130819999999988,128,1.8031587081088416e-10,4.6160862927586346e-07
NRF1,RARA,0.029928260000000012,412,1.1779671246354485e-47,3.015595839066748e-44
NRF1,RBPJ,0.03448458699999998,434,9.09404621325768e-55,2.328075830593966e-51
NRF1,REST,0.015260245999999998,133,4.113357065663964e-11,1.0530194088099748e-07
NRF1,RFX1,0.02910481000000001,1117,6.878443370303581e-113,1.7608815027977167e-109
NRF1,RFX3,0.026548894999999996,1114,4.8675675065134636e-95,1.2460972816674467e-91
NRF1,RXRA,0.020180598999999997,302,4.802198941674457e-27,1.229362929068661e-23
NRF1,RXRB,0.016664520000000016,473,1.5048959838184675e-24,3.8525337185752766e-21
NRF1,SKI,0.022961200000000015,169,9.286063481939753e-19,2.3772322513765766e-15
NRF1,SMAD4,0.030390637000000005,269,1.660903258733254e-32,4.2519123423571306e-29
NRF1,SOX13,0.030721670000000006,104,2.4862820375996813e-16,6.364882016255184e-13
NRF1,SOX5,0.029224819999999985,74,3.1121002363103765e-09,7.966976604954564e-06
NRF1,TFAP4,0.03445464000000001,719,3.0537243034799204e-87,7.817534216908596e-84
NRF1,TFDP1,0.025251055000000022,6596,0.0,0.0
NRF1,TFE3,0.033935889999999955,826,1.3051026614255924e-96,3.3410628132495166e-93
NRF1,THAP11,0.019566030000000012,1179,4.672110293415263e-71,1.1960602351143073e-67
NRF1,THRB,0.03065498,165,7.077431470246263e-16,1.8118224563830432e-12
NRF1,USF1,0.03167059000000001,1592,2.5330857277057353e-193,6.484699462926682e-190
NRF1,USF2,0.02780248000000002,717,1.326302788282166e-81,3.395335138002345e-78
NRF1,YY1,0.01953866,1751,1.2454013343184085e-111,3.188227415855126e-108
NRF1,ZBTB25,0.024265832999999997,404,4.554044531775387e-40,1.165835400134499e-36
NRF1,ZBTB33,0.011236045499999986,876,1.7554864624189834e-24,4.494045343792598e-21
NRF1,ZHX2,0.01594928000000001,675,9.440181050294672e-38,2.416686348875436e-34
NRF1,ZSCAN9,0.017778927500000007,566,3.4406079565795585e-36,8.80795636884367e-33
PBX2,ELF1,0.019245439999999996,96,6.747607120668207e-05,0.1727387422891061
PBX2,ETV5,0.011371935,70,0.0010158808411845645,1.0
PBX2,GABPA,-0.0024517910000000018,85,0.5224299848699763,1.0
PBX2,NFYC,0.015488424999999986,178,2.21149791000414e-10,5.661434649610599e-07
PBX2,NRF1,0.014130819999999988,128,1.8031587081088416e-10,4.6160862927586346e-07
PBX2,PBX2,0.02542598,88,8.897143100890402e-10,2.2776686338279428e-06
PBX2,TFDP1,0.030930689999999997,126,4.382975434711753e-18,1.1220417112862087e-14
RARA,AHR,0.028260763,81,1.6665466404529334e-09,4.2663593995595094e-06
RARA,ATF2,0.033880588,58,6.709107504273085e-08,0.00017175315210939097
RARA,ATF3,0.019049647499999996,56,0.0006734346705088786,1.0
RARA,BHLHE40,0.042675484,134,1.4855687768004294e-22,3.803056068609099e-19
RARA,CEBPG,0.033438720000000005,51,6.239654290445025e-08,0.00015973514983539262
RARA,CREB1,0.027256360999999993,106,4.7869303968718954e-11,1.2254541815992053e-07
RARA,CREM,0.029490866,150,2.309974886572581e-20,5.913535709625808e-17
RARA,CTCF,0.03147338749999999,260,5.318130077296569e-27,1.3614412997879215e-23
RARA,ELF1,0.033227567,270,7.756337622101947e-29,1.9856224312580984e-25
RARA,ELF3,0.035330399999999984,59,9.89366245727742e-09,2.5327775890630197e-05
RARA,ERF,0.023062487,102,4.1280068478143566e-14,1.0567697530404754e-10
RARA,ETS1,0.027812029999999995,128,7.842464164064216e-16,2.007670826000439e-12
RARA,ETV4,0.0274720845,246,1.657159492246339e-25,4.242328300150628e-22
RARA,ETV5,0.027088996000000004,393,6.20303377982037e-44,1.5879766476340147e-40
RARA,GABPA,0.016663479999999994,275,1.271452546927673e-14,3.254918520134843e-11
RARA,HBP1,0.029576195500000006,104,6.027880164056995e-14,1.5431373219985908e-10
RARA,HNF1A,0.02899691,107,2.7897306545680667e-09,7.141710475694251e-06
RARA,HNF4A,0.03571017000000001,579,4.019264039410573e-74,1.0289315940891065e-70
RARA,HNF4G,0.042926981999999995,513,3.538493467641096e-76,9.058543277161205e-73
RARA,KLF16,0.0255244215,112,2.4162877243431238e-11,6.185696574318397e-08
RARA,MAX,0.0440924515,346,1.0022611361852035e-54,2.565788508634121e-51
RARA,MLX,0.03786486,182,6.718253920270246e-29,1.719873003589183e-25
RARA,MXI1,0.038310694,86,1.6873498585128549e-16,4.3196156377929086e-13
RARA,NFE2L2,0.027725940999999997,61,5.749571504233651e-06,0.014718903050838145
RARA,NFIA,0.036266695,299,5.961558148066562e-34,1.52615888590504e-30
RARA,NFIL3,0.028666676999999995,69,1.0177365242612821e-08,2.6054055021088822e-05
RARA,NFYC,0.019554478000000007,84,1.3079223158097321e-06,0.0033482811284729144
RARA,NR2C2,0.0166619255,60,0.00017803961794298227,0.4557814219340346
RARA,NR2F1,0.04685310000000001,509,2.6905045429334085e-84,6.887691629909526e-81
RARA,NR2F2,0.022001406,304,2.5345510358490856e-29,6.488450651773659e-26
RARA,NR2F6,0.041866683,552,2.1050533899696385e-86,5.388936678322275e-83
RARA,NRF1,0.02992828,412,1.1779270717102027e-47,3.015493303578119e-44
RARA,RARA,0.04356034,698,3.190436179727494e-93,8.167516620102384e-90
RARA,RBPJ,0.046628263999999996,79,2.4107104741462286e-11,6.171418813814345e-08
RARA,REST,0.00027364799999999787,52,0.34231646031566465,1.0
RARA,RFX1,0.018570922499999993,52,0.00032200580067657104,0.8243348497320219
